Tweet_ID,type
ID_0095QL4S,sexual_violence
ID_00DREW5O,sexual_violence
ID_00E9F5X9,sexual_violence
ID_00G9OSKZ,sexual_violence
ID_00HU96U6,sexual_violence
ID_00IJ4SAW,sexual_violence
ID_00J80GL8,sexual_violence
ID_00L0E289,sexual_violence
ID_00N24MZN,sexual_violence
ID_00V2TOUW,sexual_violence
ID_00Y0NK0R,sexual_violence
ID_010FD3LS,sexual_violence
ID_012I9IOH,sexual_violence
ID_012NI8CJ,sexual_violence
ID_0145AH32,sexual_violence
ID_019J4AHQ,sexual_violence
ID_01DHK1SM,sexual_violence
ID_01DS0G73,sexual_violence
ID_01J4XGCQ,sexual_violence
ID_01LD495W,sexual_violence
ID_01OZQKK2,sexual_violence
ID_01P0TEWZ,sexual_violence
ID_026E87BJ,sexual_violence
ID_026U315T,sexual_violence
ID_027ZDCIK,sexual_violence
ID_02857CZU,sexual_violence
ID_02K8I8ZL,sexual_violence
ID_02MZWO77,sexual_violence
ID_02N5GBC6,sexual_violence
ID_02NSB0ZJ,sexual_violence
ID_02OXEDWY,sexual_violence
ID_02QM6TE6,sexual_violence
ID_02RTFOZA,sexual_violence
ID_02T5P1L4,sexual_violence
ID_02T8JJA3,sexual_violence
ID_02UJFORA,sexual_violence
ID_02WJSO76,sexual_violence
ID_02XO4Q52,sexual_violence
ID_0302X3RP,sexual_violence
ID_0358VWJX,sexual_violence
ID_0386UYS5,sexual_violence
ID_038865GF,sexual_violence
ID_039JB2P8,sexual_violence
ID_03LSRU62,sexual_violence
ID_03P0QSR5,sexual_violence
ID_03PRY1HX,sexual_violence
ID_03RCQTAN,sexual_violence
ID_03UJAU24,sexual_violence
ID_03VUT6HM,sexual_violence
ID_0407PA6V,sexual_violence
ID_047GC99B,sexual_violence
ID_04AFUUKO,sexual_violence
ID_04GQK41R,sexual_violence
ID_04MC69FT,sexual_violence
ID_04R3O5P2,sexual_violence
ID_04UMXL9M,sexual_violence
ID_04WL64DP,sexual_violence
ID_05158KRR,sexual_violence
ID_051OIF2M,sexual_violence
ID_05AY2U46,sexual_violence
ID_05BORU6A,sexual_violence
ID_05CX1MDX,sexual_violence
ID_05G7BU7X,sexual_violence
ID_05H9MAEB,sexual_violence
ID_05HSAMEY,sexual_violence
ID_05LA9TYP,sexual_violence
ID_05WQ8CK7,sexual_violence
ID_061T3C0W,sexual_violence
ID_061VK8X2,sexual_violence
ID_0687OOKF,sexual_violence
ID_068951V1,sexual_violence
ID_068JUWT2,sexual_violence
ID_06D2UIU2,sexual_violence
ID_06FA1O97,sexual_violence
ID_06I4BPRS,sexual_violence
ID_06LOJKPK,sexual_violence
ID_06OR24GS,sexual_violence
ID_06RUTGC5,sexual_violence
ID_06SFFSWK,sexual_violence
ID_06UE66QS,sexual_violence
ID_06VV69VO,sexual_violence
ID_06ZCNIR1,sexual_violence
ID_07135YVC,sexual_violence
ID_07182H78,sexual_violence
ID_071WX1YA,sexual_violence
ID_07GXU49Q,sexual_violence
ID_07I01JMK,sexual_violence
ID_07KMQAHY,sexual_violence
ID_07M1B3Q5,sexual_violence
ID_07NMLVKN,sexual_violence
ID_07OFCJX1,sexual_violence
ID_07PWJCA2,sexual_violence
ID_07S1ZJCT,sexual_violence
ID_07TEAZ9B,sexual_violence
ID_07U5C1B0,sexual_violence
ID_07Y3559Z,sexual_violence
ID_0818MJNN,sexual_violence
