ID,created_at,site,pm2_5,pm10,s2_pm2_5,s2_pm10,humidity,temp,lat,long,altitude,greenness,landform_90m,landform_270m,population,dist_major_road,ref_pm2_5
ID_0038MG0B,2020-04-23 17:00:00+03:00,USEmbassy,6.819047619047619,7.313809523809523,6.794047619047619,7.838333333333334,0.807416667,22.38333333,0.29925466,32.592686,1199,4374,21,14,6834,130,25.0
ID_008ASVDD,2020-02-23 19:00:00+03:00,USEmbassy,57.456046511627896,67.88348837209301,55.643488372093024,70.64697674418603,0.7124166670000001,25.35,0.29925466,32.592686,1199,4374,21,14,6834,130,68.0
ID_009ACJQ9,2021-01-23 04:00:00+03:00,Nakawa,170.00977272727275,191.1536363636364,165.30863636363637,191.4715909090909,0.907833333,20.61666667,0.33174,32.60951,1191,5865,31,-11,4780,500,149.7
ID_00IGMAQ2,2019-12-04 09:00:00+03:00,USEmbassy,49.73282051282052,61.51256410256412,0.0,0.0,0.949666667,21.21666667,0.29925466,32.592686,1199,4374,21,14,6834,130,54.0
ID_00P76VAQ,2019-10-01 01:00:00+03:00,USEmbassy,41.63045454545455,51.04454545454544,41.725,51.14136363636364,0.913833333,18.90833333,0.29925466,32.592686,1199,4374,21,14,6834,130,39.0
ID_00R7I3TR,2020-03-08 01:00:00+03:00,USEmbassy,31.03279069767444,34.279999999999994,31.18441860465116,37.6613953488372,0.8775,22.46666667,0.29925466,32.592686,1199,4374,21,14,6834,130,38.0
ID_00TPMZ3E,2020-01-26 12:00:00+03:00,USEmbassy,139.29372093023255,143.9993023255814,132.28093023255815,144.52860465116282,0.6525,21.61666667,0.29925466,32.592686,1199,4374,21,14,6834,130,117.0
ID_00ZYLEUU,2021-02-21 07:00:00+03:00,USEmbassy,130.77232558139534,175.80651162790696,123.27534883720932,145.26534883720933,0.810333333,18.50833333,0.29925466,32.592686,1199,4374,21,14,6834,130,172.0
ID_011H25D3,2020-12-07 12:00:00+03:00,Makerere,36.585,44.775,34.55,41.14,0.81475,23.36666667,0.333501,32.568560999999995,1233,6340,21,28,8518,475,21.5
ID_01BLU6LY,2020-07-18 06:00:00+03:00,Makerere,30.23692307692307,34.01230769230769,29.02692307692308,32.52,0.7375,20.34166667,0.333501,32.568560999999995,1233,6340,21,28,8518,475,18.2
ID_01C84DNE,2020-02-03 17:00:00+03:00,USEmbassy,18.343783783783778,19.00783783783784,15.899729729729732,17.722432432432434,0.715833333,25.35,0.29925466,32.592686,1199,4374,21,14,6834,130,32.0
ID_01DY24Q4,2020-10-25 14:00:00+03:00,Nakawa,13.76568181818182,14.95,14.566590909090907,16.229090909090914,0.5439166670000001,28.325,0.33174,32.60951,1191,5865,31,-11,4780,500,21.1
ID_01EZ4G6T,2020-10-01 10:00:00+03:00,Makerere,11.56857142857143,12.367857142857142,11.341428571428574,12.209285714285716,0.832416667,21.65,0.333501,32.568560999999995,1233,6340,21,28,8518,475,9.5
ID_01HG3OZX,2020-09-20 03:00:00+03:00,Nakawa,30.38318181818182,35.333181818181814,31.258409090909087,37.63454545454545,0.859583333,18.20833333,0.33174,32.60951,1191,5865,31,-11,4780,500,20.4
ID_01ISQ9CD,2020-10-05 10:00:00+03:00,Nakawa,20.975789473684216,22.44078947368421,22.79605263157895,24.80921052631579,0.61075,24.81666667,0.33174,32.60951,1191,5865,31,-11,4780,500,26.0
ID_01LMBQ8K,2019-10-31 14:00:00+03:00,USEmbassy,43.80599999999999,53.251250000000006,45.4195,55.500250000000015,0.8823333329999999,20.75833333,0.29925466,32.592686,1199,4374,21,14,6834,130,55.0
ID_01Z2IX7J,2020-02-22 19:00:00+03:00,USEmbassy,50.64309523809524,61.03428571428572,49.11523809523809,62.72571428571429,0.777333333,24.23333333,0.29925466,32.592686,1199,4374,21,14,6834,130,66.0
ID_02AR9HRR,2021-02-15 15:00:00+03:00,Makerere,22.791666666666668,25.10833333333333,22.706666666666667,25.12833333333333,0.619416667,29.76666667,0.333501,32.568560999999995,1233,6340,21,28,8518,475,18.1
ID_02FAOI2A,2020-04-30 22:00:00+03:00,USEmbassy,31.387906976744187,35.68767441860465,31.70232558139536,39.10883720930233,0.8241666670000001,21.5,0.29925466,32.592686,1199,4374,21,14,6834,130,39.0
ID_02ICCLLW,2019-10-09 16:00:00+03:00,USEmbassy,21.138,23.1055,20.513,22.612250000000003,0.7949166670000001,24.43333333,0.29925466,32.592686,1199,4374,21,14,6834,130,36.0
ID_02IO6O4F,2019-12-22 06:00:00+03:00,USEmbassy,129.90325581395354,138.3541860465116,122.68418604651166,141.5320930232558,0.851666667,19.08333333,0.29925466,32.592686,1199,4374,21,14,6834,130,138.0
ID_02IUU855,2021-01-19 18:00:00+03:00,Nakawa,55.15925000000001,67.97849999999998,55.07075000000001,69.52249999999998,0.701,23.9,0.33174,32.60951,1191,5865,31,-11,4780,500,70.2
ID_02KO6KZK,2020-03-14 18:00:00+03:00,USEmbassy,15.899772727272731,16.54431818181818,15.56159090909091,17.395454545454548,0.818583333,24.25833333,0.29925466,32.592686,1199,4374,21,14,6834,130,31.0
ID_02NYPMM8,2021-02-06 01:00:00+03:00,Makerere,59.43363636363637,69.39272727272727,51.65272727272727,64.28545454545454,0.9455,19.925,0.333501,32.568560999999995,1233,6340,21,28,8518,475,28.9
ID_02ODC5AL,2021-01-07 16:00:00+03:00,Makerere,14.456666666666669,15.646666666666668,13.341111111111111,15.338888888888889,0.60075,27.15833333,0.333501,32.568560999999995,1233,6340,21,28,8518,475,14.8
ID_02PRJ7LH,2019-08-08 15:00:00+03:00,USEmbassy,43.93666666666666,53.76904761904763,44.0997619047619,54.59166666666668,0.93,22.39166667,0.29925466,32.592686,1199,4374,21,14,6834,130,48.0
ID_02T9ZRB4,2019-10-13 08:00:00+03:00,USEmbassy,37.02046511627907,42.55139534883722,38.24976744186046,44.47604651162792,0.984666667,20.825,0.29925466,32.592686,1199,4374,21,14,6834,130,38.0
ID_02U4LEL4,2020-10-24 16:00:00+03:00,Nakawa,36.32477272727272,44.04113636363636,36.690000000000005,45.30750000000001,0.921083333,21.06666667,0.33174,32.60951,1191,5865,31,-11,4780,500,15.0
ID_02ZCZO29,2020-10-10 05:00:00+03:00,Nakawa,9.320909090909092,10.694772727272724,9.5675,11.05659090909091,0.95025,18.425,0.33174,32.60951,1191,5865,31,-11,4780,500,7.2
ID_03A08JUO,2020-11-09 23:00:00+03:00,USEmbassy,37.52162790697674,50.81627906976743,39.39209302325581,48.17046511627908,0.895333333,20.73333333,0.29925466,32.592686,1199,4374,21,14,6834,130,40.0
ID_03A44W65,2019-09-10 16:00:00+03:00,USEmbassy,40.5581081081081,49.01054054054055,40.18486486486486,49.52,0.956,19.225,0.29925466,32.592686,1199,4374,21,14,6834,130,36.0
ID_03B0IO90,2019-09-28 10:00:00+03:00,USEmbassy,34.558181818181815,39.2,35.01181818181818,40.548181818181824,0.82625,23.95833333,0.29925466,32.592686,1199,4374,21,14,6834,130,30.0
ID_03I2G3MT,2020-02-20 13:00:00+03:00,USEmbassy,35.86863636363636,41.34727272727272,34.31545454545457,41.14795454545455,0.63275,28.03333333,0.29925466,32.592686,1199,4374,21,14,6834,130,48.0
ID_03LXTPML,2020-10-30 19:00:00+03:00,Nakawa,39.7025,49.12875,40.96,51.67125,0.7155,21.95,0.33174,32.60951,1191,5865,31,-11,4780,500,67.6
ID_03OWEN1Y,2021-02-16 10:00:00+03:00,USEmbassy,46.91813953488373,63.35465116279069,50.8213953488372,62.194186046511646,0.9865,20.95,0.29925466,32.592686,1199,4374,21,14,6834,130,55.0
ID_0439D9PX,2020-12-25 21:00:00+03:00,Nakawa,43.16488372093022,54.10511627906977,44.488139534883736,56.98674418604651,0.902416667,20.425,0.33174,32.60951,1191,5865,31,-11,4780,500,45.0
ID_04BQYLDH,2020-11-03 13:00:00+03:00,USEmbassy,25.88048780487805,34.03878048780488,26.991707317073168,30.258048780487805,0.56925,27.59166667,0.29925466,32.592686,1199,4374,21,14,6834,130,33.0
ID_04D7UZDD,2021-02-03 22:00:00+03:00,Makerere,49.218,63.116,48.208,62.89200000000001,0.8480833329999999,22.28333333,0.333501,32.568560999999995,1233,6340,21,28,8518,475,43.8
ID_04HXCJM2,2020-08-17 06:00:00+03:00,Makerere,86.05900000000001,92.141,79.824,90.321,0.980916667,17.80833333,0.333501,32.568560999999995,1233,6340,21,28,8518,475,45.2
ID_04I9YG4D,2020-12-25 16:00:00+03:00,Nakawa,19.635,21.373,20.28325,22.730249999999995,0.983833333,20.25,0.33174,32.60951,1191,5865,31,-11,4780,500,16.9
ID_04LZTOA5,2019-11-13 11:00:00+03:00,USEmbassy,30.304883720930224,33.143255813953495,79.43511627906977,86.2032558139535,0.718,26.41666667,0.29925466,32.592686,1199,4374,21,14,6834,130,31.0
ID_04R9KN5O,2019-09-10 01:00:00+03:00,USEmbassy,80.20295454545455,88.11068181818182,78.23772727272726,86.58068181818182,0.857,20.51666667,0.29925466,32.592686,1199,4374,21,14,6834,130,85.0
ID_04T42193,2019-12-07 10:00:00+03:00,USEmbassy,85.87422222222222,93.0157777777778,0.0,0.0,0.998583333,19.125,0.29925466,32.592686,1199,4374,21,14,6834,130,94.0
ID_04ZM38J1,2021-02-02 04:00:00+03:00,USEmbassy,73.7779069767442,94.2786046511628,78.97348837209303,90.04511627906977,0.948166667,18.44166667,0.29925466,32.592686,1199,4374,21,14,6834,130,77.0
ID_055A71LU,2019-10-12 21:00:00+03:00,USEmbassy,52.61272727272726,63.86409090909092,54.13659090909091,65.7690909090909,0.965583333,19.64166667,0.29925466,32.592686,1199,4374,21,14,6834,130,65.0
ID_058R3MLC,2019-08-31 23:00:00+03:00,USEmbassy,51.96658536585364,63.03682926829268,53.27487804878049,65.1419512195122,0.998666667,17.375,0.29925466,32.592686,1199,4374,21,14,6834,130,56.0
ID_05A48L66,2021-01-31 07:00:00+03:00,Nakawa,75.43162790697674,84.38511627906976,76.27999999999999,87.39093023255812,0.907083333,19.09166667,0.33174,32.60951,1191,5865,31,-11,4780,500,89.4
ID_05HOUUE6,2020-12-07 04:00:00+03:00,Makerere,48.81363636363637,60.403636363636366,45.48636363636364,57.5609090909091,0.903666667,19.26666667,0.333501,32.568560999999995,1233,6340,21,28,8518,475,26.4
ID_05J23IX4,2020-04-03 11:00:00+03:00,USEmbassy,16.484146341463415,17.111463414634148,15.463414634146345,17.229268292682924,0.778166667,26.375,0.29925466,32.592686,1199,4374,21,14,6834,130,25.0
ID_05M7EK5O,2021-02-05 12:00:00+03:00,USEmbassy,15.814222222222224,21.11733333333333,17.145555555555553,19.10511111111111,0.644916667,28.45833333,0.29925466,32.592686,1199,4374,21,14,6834,130,34.0
ID_05NAGEIV,2021-01-08 13:00:00+03:00,Makerere,23.766666666666666,25.856666666666666,20.82,22.886666666666667,0.407083333,28.95,0.333501,32.568560999999995,1233,6340,21,28,8518,475,18.0
ID_05V5SFTG,2020-01-30 11:00:00+03:00,USEmbassy,20.76772727272727,22.182045454545456,18.996136363636364,21.58068181818181,0.701666667,24.38333333,0.29925466,32.592686,1199,4374,21,14,6834,130,32.0
ID_05XN9GDJ,2020-02-02 05:00:00+03:00,USEmbassy,70.08697674418605,76.74744186046509,64.53581395348836,76.79651162790698,0.939166667,18.45,0.29925466,32.592686,1199,4374,21,14,6834,130,75.0
